GEOID,NAME,label,top1,top2,top3,pop,pct_nhpi,pct_tot,metro
53061041400,"Census Tract 414, Snohomish County, Washington",Fijian,294,100%,5%,294,1,0.05,23
48201241102,"Census Tract 2411.02, Harris County, Texas",Guamanian or Chamorro,291,100%,2%,291,1,0.02,8
53033029206,"Census Tract 292.06, King County, Washington",Samoan,289,81%,7%,289,0.81,0.07,23
06073008358,"Census Tract 83.58, San Diego County, California",Guamanian or Chamorro,288,78%,4%,288,0.78,0.04,20
32003003613,"Census Tract 36.13, Clark County, Nevada",Guamanian or Chamorro,288,88%,4%,288,0.88,0.04,10
06085512402,"Census Tract 5124.02, Santa Clara County, California",Fijian,287,100%,5%,287,1,0.05,22
06059110202,"Census Tract 1102.02, Orange County, California",Samoan,286,100%,4%,286,1,0.04,11
06081600200,"Census Tract 6002, San Mateo County, California",Samoan,286,100%,7%,286,1,0.07,21
06081610500,"Census Tract 6105, San Mateo County, California",Tongan,286,100%,5%,286,1,0.05,21
06073018518,"Census Tract 185.18, San Diego County, California",Samoan,282,98%,8%,282,0.98,0.08,20
06081611700,"Census Tract 6117, San Mateo County, California",Tongan,282,61%,5%,282,0.61,0.05,21
41005024400,"Census Tract 244, Clackamas County, Oregon",Native Hawaiian,278,100%,4%,278,1,0.04,27
53033028403,"Census Tract 284.03, King County, Washington",Samoan,277,73%,5%,277,0.73,0.05,23
15003000111,"Census Tract 1.11, Honolulu County, Hawaii",Native Hawaiian,277,69%,6%,277,0.69,0.06,25
49035113538,"Census Tract 1135.38, Salt Lake County, Utah",Tongan,273,100%,8%,273,1,0.08,19
53033025302,"Census Tract 253.02, King County, Washington",Samoan,271,100%,5%,271,1,0.05,23
06037403321,"Census Tract 4033.21, Los Angeles County, California",Samoan,269,100%,4%,269,1,0.04,11
06037572700,"Census Tract 5727, Los Angeles County, California",Samoan,268,92%,5%,268,0.92,0.05,11
06037572500,"Census Tract 5725, Los Angeles County, California",Samoan,266,100%,7%,266,1,0.07,11
53053071408,"Census Tract 714.08, Pierce County, Washington",Guamanian or Chamorro,264,44%,6%,264,0.44,0.06,23
49035113525,"Census Tract 1135.25, Salt Lake County, Utah",Samoan,264,52%,3%,264,0.52,0.03,19
06059086303,"Census Tract 863.03, Orange County, California",Samoan,263,100%,4%,263,1,0.04,11
06085503508,"Census Tract 5035.08, Santa Clara County, California",Samoan,263,95%,4%,263,0.95,0.04,22
53053072000,"Census Tract 720, Pierce County, Washington",Samoan,263,72%,6%,263,0.72,0.06,23
15003000112,"Census Tract 1.12, Honolulu County, Hawaii",Native Hawaiian,260,100%,5%,260,1,0.05,25
15003008701,"Census Tract 87.01, Honolulu County, Hawaii",Native Hawaiian,259,62%,3%,259,0.62,0.03,25
49035114500,"Census Tract 1145, Salt Lake County, Utah",Tongan,259,66%,4%,259,0.66,0.04,19
53033011900,"Census Tract 119, King County, Washington",Native Hawaiian,257,91%,3%,257,0.91,0.03,23
41051008002,"Census Tract 80.02, Multnomah County, Oregon",Tongan,256,86%,8%,256,0.86,0.08,27
32003005825,"Census Tract 58.25, Clark County, Nevada",Native Hawaiian,254,89%,4%,254,0.89,0.04,10
02020000901,"Census Tract 9.01, Anchorage Municipality, Alaska",Samoan,252,77%,5%,252,0.77,0.05,7
06073010003,"Census Tract 100.03, San Diego County, California",Guamanian or Chamorro,251,55%,4%,251,0.55,0.04,20
06081608400,"Census Tract 6084, San Mateo County, California",Tongan,251,73%,4%,251,0.73,0.04,21
15003003800,"Census Tract 38, Honolulu County, Hawaii",Native Hawaiian,251,100%,5%,251,1,0.05,25
15003006201,"Census Tract 62.01, Honolulu County, Hawaii",Native Hawaiian,249,22%,4%,249,0.22,0.04,25
06073003201,"Census Tract 32.01, San Diego County, California",Samoan,247,100%,5%,247,1,0.05,20
53053071505,"Census Tract 715.05, Pierce County, Washington",Samoan,246,54%,5%,246,0.54,0.05,23
15003002702,"Census Tract 27.02, Honolulu County, Hawaii",Guamanian or Chamorro,246,38%,5%,246,0.38,0.05,25
06061021322,"Census Tract 213.22, Placer County, California",Native Hawaiian,244,84%,2%,244,0.84,0.02,18
53053071410,"Census Tract 714.10, Pierce County, Washington",Guamanian or Chamorro,243,73%,3%,243,0.73,0.03,23
02020000801,"Census Tract 8.01, Anchorage Municipality, Alaska",Samoan,243,45%,3%,243,0.45,0.03,7
06085504418,"Census Tract 5044.18, Santa Clara County, California",Samoan,242,100%,4%,242,1,0.04,22
15003003700,"Census Tract 37, Honolulu County, Hawaii",Native Hawaiian,242,94%,4%,242,0.94,0.04,25
15003010504,"Census Tract 105.04, Honolulu County, Hawaii",Native Hawaiian,241,82%,5%,241,0.82,0.05,25
53033026802,"Census Tract 268.02, King County, Washington",Tongan,239,86%,5%,239,0.86,0.05,23
32003002843,"Census Tract 28.43, Clark County, Nevada",Samoan,239,97%,2%,239,0.97,0.02,10
06001437000,"Census Tract 4370, Alameda County, California",Fijian,237,87%,7%,237,0.87,0.07,21
06013320001,"Census Tract 3200.01, Contra Costa County, California",Tongan,237,94%,6%,237,0.94,0.06,21
04021000211,"Census Tract 2.11, Pinal County, Arizona",Native Hawaiian,237,88%,5%,237,0.88,0.05,15
53033030004,"Census Tract 300.04, King County, Washington",Samoan,236,31%,3%,236,0.31,0.03,23
15003008502,"Census Tract 85.02, Honolulu County, Hawaii",Native Hawaiian,236,38%,9%,236,0.38,0.09,25
06037432300,"Census Tract 4323, Los Angeles County, California",Native Hawaiian,234,100%,5%,234,1,0.05,11
15003001202,"Census Tract 12.02, Honolulu County, Hawaii",Native Hawaiian,234,99%,8%,234,0.99,0.08,25
