GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19
Id,Id2,Geography,Total:,Asian Indian,Bangladeshi,Cambodian,"Chinese, except Taiwanese",Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese,Other Asian,"Other Asian, not specified"
1400000US06001427300,06001427300,"Census Tract 4273, Alameda County, California",1280,31,0,9,437,559,0,0,31,69,3,0,0,0,1,4,125,1,10
1400000US06001427400,06001427400,"Census Tract 4274, Alameda County, California",68,4,0,0,0,43,0,0,5,7,0,0,0,0,0,4,4,1,0
1400000US06001427500,06001427500,"Census Tract 4275, Alameda County, California",11,0,0,0,1,6,0,1,0,3,0,0,0,0,0,0,0,0,0
1400000US06001427600,06001427600,"Census Tract 4276, Alameda County, California",1666,119,0,4,440,868,2,1,10,64,1,0,10,0,3,5,118,0,21
1400000US06001427700,06001427700,"Census Tract 4277, Alameda County, California",1491,167,4,2,450,620,5,1,54,87,2,1,1,5,6,7,67,1,11
1400000US06001427800,06001427800,"Census Tract 4278, Alameda County, California",1076,25,0,4,300,522,0,4,46,41,1,0,6,1,0,1,113,6,6
1400000US06001427900,06001427900,"Census Tract 4279, Alameda County, California",736,32,0,0,209,316,0,0,47,45,1,0,0,0,0,1,77,1,7
1400000US06001428000,06001428000,"Census Tract 4280, Alameda County, California",691,20,0,0,187,255,0,0,26,131,0,1,0,1,1,4,60,2,3
1400000US06001428100,06001428100,"Census Tract 4281, Alameda County, California",615,7,0,0,289,133,0,6,54,66,0,0,7,0,3,5,40,0,5
1400000US06001428200,06001428200,"Census Tract 4282, Alameda County, California",1311,39,0,4,639,311,0,0,83,135,0,0,0,0,0,4,81,0,15
1400000US06001428301,06001428301,"Census Tract 4283.01, Alameda County, California",1987,56,0,6,1191,309,0,0,97,209,3,3,0,0,2,10,98,0,3
