NAMELSAD,top_metro_metroP,top_metro_asnP,top_metro_nhpiP,GEOID_2,NAMELSAD_2
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","54037",Jefferson County
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","51153",Prince William County
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","24033",Prince George's County
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","24031",Montgomery County
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","51685",Manassas Park city
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","51013",Arlington County
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","51043",Clarke County
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","24017",Charles County
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","51630",Fredericksburg city
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","51059",Fairfax County
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","51107",Loudoun County
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","51047",Culpeper County
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","51187",Warren County
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","51683",Manassas city
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6090196","605691","3714","51177",Spotsylvania County
