GEOID,NAME,label,top1,top2,top3,pop,pct_asn,pct_tot,metro
48201333202,"Census Tract 3332.02, Harris County, Texas",Vietnamese,90,83%,2%,90,0.83,0.02,8
48251130700,"Census Tract 1307, Johnson County, Texas",Vietnamese,90,100%,2%,90,1,0.02,4
48439111008,"Census Tract 1110.08, Tarrant County, Texas",Vietnamese,90,49%,1%,90,0.49,0.01,4
48439111304,"Census Tract 1113.04, Tarrant County, Texas",Chinese,90,46%,1%,90,0.46,0.01,4
48439111505,"Census Tract 1115.05, Tarrant County, Texas",Filipino,90,81%,2%,90,0.81,0.02,4
04013319404,"Census Tract 3194.04, Maricopa County, Arizona",Chinese,90,100%,2%,90,1,0.02,15
04013422304,"Census Tract 4223.04, Maricopa County, Arizona",Asian Indian,90,60%,3%,90,0.6,0.03,15
04013616500,"Census Tract 6165, Maricopa County, Arizona",Asian Indian,90,57%,3%,90,0.57,0.03,15
04013619500,"Census Tract 6195, Maricopa County, Arizona",Filipino,90,43%,2%,90,0.43,0.02,15
05087960100,"Census Tract 9601, Madison County, Arkansas",Asian Indian,90,56%,2%,90,0.56,0.02,3
49035110600,"Census Tract 1106, Salt Lake County, Utah",Chinese,90,58%,2%,90,0.58,0.02,19
13089020400,"Census Tract 204, DeKalb County, Georgia",Chinese,90,42%,3%,90,0.42,0.03,1
32003002708,"Census Tract 27.08, Clark County, Nevada",Filipino,90,100%,4%,90,1,0.04,10
32003005107,"Census Tract 51.07, Clark County, Nevada",Filipino,90,48%,2%,90,0.48,0.02,10
06001400700,"Census Tract 4007, Alameda County, California",Chinese,89,31%,2%,89,0.31,0.02,21
06037127712,"Census Tract 1277.12, Los Angeles County, California",Filipino,89,46%,2%,89,0.46,0.02,11
06037189701,"Census Tract 1897.01, Los Angeles County, California",Chinese,89,33%,3%,89,0.33,0.03,11
06037191710,"Census Tract 1917.10, Los Angeles County, California",Thai,89,39%,3%,89,0.39,0.03,11
06037262301,"Census Tract 2623.01, Los Angeles County, California",Asian Indian,89,26%,3%,89,0.26,0.03,11
06037320100,"Census Tract 3201, Los Angeles County, California",Filipino,89,100%,1%,89,1,0.01,11
06037503702,"Census Tract 5037.02, Los Angeles County, California",Filipino,89,28%,2%,89,0.28,0.02,11
06037620901,"Census Tract 6209.01, Los Angeles County, California",Chinese,89,26%,3%,89,0.26,0.03,11
06037700501,"Census Tract 7005.01, Los Angeles County, California",Chinese,89,35%,2%,89,0.35,0.02,11
06059063302,"Census Tract 633.02, Orange County, California",Chinese,89,48%,2%,89,0.48,0.02,11
06061020715,"Census Tract 207.15, Placer County, California",Chinese,89,50%,3%,89,0.5,0.03,18
06065042518,"Census Tract 425.18, Riverside County, California",Cambodian,89,67%,3%,89,0.67,0.03,17
06071000904,"Census Tract 9.04, San Bernardino County, California",Chinese,89,56%,2%,89,0.56,0.02,17
06071004509,"Census Tract 45.09, San Bernardino County, California",Vietnamese,89,50%,2%,89,0.5,0.02,17
06071010013,"Census Tract 100.13, San Bernardino County, California",Chinese,89,72%,1%,89,0.72,0.01,17
06073017108,"Census Tract 171.08, San Diego County, California",Chinese,89,38%,2%,89,0.38,0.02,20
06073021205,"Census Tract 212.05, San Diego County, California",Filipino,89,92%,1%,89,0.92,0.01,20
06075022702,"Census Tract 227.02, San Francisco County, California",Chinese,89,29%,4%,89,0.29,0.04,21
42029301900,"Census Tract 3019, Chester County, Pennsylvania",Chinese,89,76%,2%,89,0.76,0.02,14
42045402500,"Census Tract 4025, Delaware County, Pennsylvania",Asian Indian,89,100%,3%,89,1,0.03,14
42091201006,"Census Tract 2010.06, Montgomery County, Pennsylvania",Pakistani,89,49%,4%,89,0.49,0.04,14
42091203602,"Census Tract 2036.02, Montgomery County, Pennsylvania",Vietnamese,89,61%,2%,89,0.61,0.02,14
42101016200,"Census Tract 162, Philadelphia County, Pennsylvania",Chinese,89,75%,4%,89,0.75,0.04,14
34007608901,"Census Tract 6089.01, Camden County, New Jersey",Chinese,89,92%,1%,89,0.92,0.01,14
34013021200,"Census Tract 212, Essex County, New Jersey",Chinese,89,79%,2%,89,0.79,0.02,13
34017017600,"Census Tract 176, Hudson County, New Jersey",Asian Indian,89,82%,2%,89,0.82,0.02,13
34023007704,"Census Tract 77.04, Middlesex County, New Jersey",Chinese,89,43%,3%,89,0.43,0.03,13
34025811304,"Census Tract 8113.04, Monmouth County, New Jersey",Asian Indian,89,39%,3%,89,0.39,0.03,13
34027040400,"Census Tract 404, Morris County, New Jersey",Chinese,89,43%,2%,89,0.43,0.02,13
34031183200,"Census Tract 1832, Passaic County, New Jersey",Chinese,89,81%,3%,89,0.81,0.03,13
34031216701,"Census Tract 2167.01, Passaic County, New Jersey",Asian Indian,89,54%,1%,89,0.54,0.01,13
34035051400,"Census Tract 514, Somerset County, New Jersey",Pakistani,89,59%,2%,89,0.59,0.02,13
34039035500,"Census Tract 355, Union County, New Jersey",Chinese,89,87%,1%,89,0.87,0.01,13
24033806000,"Census Tract 8060, Prince George's County, Maryland",Bangladeshi,89,46%,2%,89,0.46,0.02,26
51153901100,"Census Tract 9011, Prince William County, Virginia",Chinese,89,29%,2%,89,0.29,0.02,26
51510201204,"Census Tract 2012.04, Alexandria city, Virginia",Korean,89,28%,2%,89,0.28,0.02,26
17031010702,"Census Tract 107.02, Cook County, Illinois",Malaysian,89,22%,2%,89,0.22,0.02,6
17031071600,"Census Tract 716, Cook County, Illinois",Chinese,89,71%,5%,89,0.71,0.05,6
17031200100,"Census Tract 2001, Cook County, Illinois",Filipino,89,62%,2%,89,0.62,0.02,6
17031770902,"Census Tract 7709.02, Cook County, Illinois",Asian Indian,89,49%,3%,89,0.49,0.03,6
17031800700,"Census Tract 8007, Cook County, Illinois",Chinese,89,22%,2%,89,0.22,0.02,6
17031805501,"Census Tract 8055.01, Cook County, Illinois",Filipino,89,47%,2%,89,0.47,0.02,6
17031806300,"Census Tract 8063, Cook County, Illinois",Filipino,89,49%,2%,89,0.49,0.02,6
17031814600,"Census Tract 8146, Cook County, Illinois",Chinese,89,60%,2%,89,0.6,0.02,6
17031816000,"Census Tract 8160, Cook County, Illinois",Asian Indian,89,48%,3%,89,0.48,0.03,6
17031832000,"Census Tract 8320, Cook County, Illinois",Asian Indian,89,44%,5%,89,0.44,0.05,6
17043841003,"Census Tract 8410.03, DuPage County, Illinois",Asian Indian,89,36%,3%,89,0.36,0.03,6
17043845811,"Census Tract 8458.11, DuPage County, Illinois",Filipino,89,28%,2%,89,0.28,0.02,6
17089850302,"Census Tract 8503.02, Kane County, Illinois",Asian Indian,89,61%,2%,89,0.61,0.02,6
17089850500,"Census Tract 8505, Kane County, Illinois",Filipino,89,53%,2%,89,0.53,0.02,6
17089851400,"Census Tract 8514, Kane County, Illinois",Laotian,89,47%,1%,89,0.47,0.01,6
17111870905,"Census Tract 8709.05, McHenry County, Illinois",Asian Indian,89,49%,2%,89,0.49,0.02,6
17197880112,"Census Tract 8801.12, Will County, Illinois",Asian Indian,89,70%,4%,89,0.7,0.04,6
18089043102,"Census Tract 431.02, Lake County, Indiana",Filipino,89,62%,1%,89,0.62,0.01,6
25009208200,"Census Tract 2082, Essex County, Massachusetts",Vietnamese,89,49%,2%,89,0.49,0.02,2
25017335302,"Census Tract 3353.02, Middlesex County, Massachusetts",Chinese,89,65%,2%,89,0.65,0.02,2
25021417400,"Census Tract 4174, Norfolk County, Massachusetts",Vietnamese,89,79%,4%,89,0.79,0.04,2
25025120105,"Census Tract 1201.05, Suffolk County, Massachusetts",Japanese,89,39%,3%,89,0.39,0.03,2
33017080204,"Census Tract 802.04, Strafford County, New Hampshire",Chinese,89,61%,2%,89,0.61,0.02,2
26125193500,"Census Tract 1935, Oakland County, Michigan",Chinese,89,42%,4%,89,0.42,0.04,5
26163517200,"Census Tract 5172, Wayne County, Michigan",Asian Indian,89,52%,4%,89,0.52,0.04,5
26163567400,"Census Tract 5674, Wayne County, Michigan",Filipino,89,88%,3%,89,0.88,0.03,5
36005033600,"Census Tract 336, Bronx County, New York",Asian Indian,89,57%,1%,89,0.57,0.01,13
36047000502,"Census Tract 5.02, Kings County, New York",Chinese,89,44%,3%,89,0.44,0.03,13
36047018100,"Census Tract 181, Kings County, New York",Chinese,89,39%,2%,89,0.39,0.02,13
36047042300,"Census Tract 423, Kings County, New York",Bangladeshi,89,50%,2%,89,0.5,0.02,13
36061026900,"Census Tract 269, New York County, New York",Filipino,89,34%,1%,89,0.34,0.01,13
36085013302,"Census Tract 133.02, Richmond County, New York",Bangladeshi,89,61%,3%,89,0.61,0.03,13
36119013800,"Census Tract 138, Westchester County, New York",Asian Indian,89,60%,3%,89,0.6,0.03,13
53033003200,"Census Tract 32, King County, Washington",Asian Indian,89,25%,1%,89,0.25,0.01,23
53033029203,"Census Tract 292.03, King County, Washington",Cambodian,89,23%,2%,89,0.23,0.02,23
53053070100,"Census Tract 701, Pierce County, Washington",Filipino,89,86%,2%,89,0.86,0.02,23
53061052903,"Census Tract 529.03, Snohomish County, Washington",Chinese,89,47%,2%,89,0.47,0.02,23
48085031634,"Census Tract 316.34, Collin County, Texas",Pakistani,89,25%,3%,89,0.25,0.03,4
48113014205,"Census Tract 142.05, Dallas County, Texas",Asian Indian,89,38%,6%,89,0.38,0.06,4
48121021513,"Census Tract 215.13, Denton County, Texas",Asian Indian,89,71%,2%,89,0.71,0.02,4
48201422500,"Census Tract 4225, Harris County, Texas",Chinese,89,66%,1%,89,0.66,0.01,8
48201422701,"Census Tract 4227.01, Harris County, Texas",Filipino,89,48%,2%,89,0.48,0.02,8
48201430300,"Census Tract 4303, Harris County, Texas",Pakistani,89,24%,2%,89,0.24,0.02,8
04013082024,"Census Tract 820.24, Maricopa County, Arizona",Filipino,89,84%,2%,89,0.84,0.02,15
04013110502,"Census Tract 1105.02, Maricopa County, Arizona",Filipino,89,55%,4%,89,0.55,0.04,15
49035113536,"Census Tract 1135.36, Salt Lake County, Utah",Filipino,89,71%,2%,89,0.71,0.02,19
13015960402,"Census Tract 9604.02, Bartow County, Georgia",Asian Indian,89,100%,1%,89,1,0.01,1
13067030233,"Census Tract 302.33, Cobb County, Georgia",Chinese,89,41%,2%,89,0.41,0.02,1
13067030341,"Census Tract 303.41, Cobb County, Georgia",Asian Indian,89,54%,2%,89,0.54,0.02,1
32003001006,"Census Tract 10.06, Clark County, Nevada",Filipino,89,41%,2%,89,0.41,0.02,10
32003002824,"Census Tract 28.24, Clark County, Nevada",Japanese,89,48%,6%,89,0.48,0.06,10
06001400400,"Census Tract 4004, Alameda County, California",Chinese,88,24%,2%,88,0.24,0.02,21
06001423902,"Census Tract 4239.02, Alameda County, California",Chinese,88,43%,6%,88,0.43,0.06,21
06037104821,"Census Tract 1048.21, Los Angeles County, California",Filipino,88,58%,3%,88,0.58,0.03,11
06037139502,"Census Tract 1395.02, Los Angeles County, California",Vietnamese,88,57%,3%,88,0.57,0.03,11
06037191720,"Census Tract 1917.20, Los Angeles County, California",Filipino,88,62%,3%,88,0.62,0.03,11
06037191820,"Census Tract 1918.20, Los Angeles County, California",Filipino,88,43%,3%,88,0.43,0.03,11
06037232400,"Census Tract 2324, Los Angeles County, California",Filipino,88,81%,1%,88,0.81,0.01,11
06037543100,"Census Tract 5431, Los Angeles County, California",Vietnamese,88,89%,1%,88,0.89,0.01,11
06037577300,"Census Tract 5773, Los Angeles County, California",Chinese,88,24%,2%,88,0.24,0.02,11
06037702002,"Census Tract 7020.02, Los Angeles County, California",Filipino,88,27%,1%,88,0.27,0.01,11
06037800327,"Census Tract 8003.27, Los Angeles County, California",Thai,88,27%,2%,88,0.27,0.02,11
06037920036,"Census Tract 9200.36, Los Angeles County, California",Asian Indian,88,59%,3%,88,0.59,0.03,11
06059032043,"Census Tract 320.43, Orange County, California",Filipino,88,31%,2%,88,0.31,0.02,11
06059042329,"Census Tract 423.29, Orange County, California",Asian Indian,88,27%,2%,88,0.27,0.02,11
06061021046,"Census Tract 210.46, Placer County, California",Filipino,88,45%,2%,88,0.45,0.02,18
06065043821,"Census Tract 438.21, Riverside County, California",Indonesian,88,30%,2%,88,0.3,0.02,17
06065050600,"Census Tract 506, Riverside County, California",Chinese,88,39%,1%,88,0.39,0.01,17
06071000812,"Census Tract 8.12, San Bernardino County, California",Korean,88,37%,2%,88,0.37,0.02,17
42045401401,"Census Tract 4014.01, Delaware County, Pennsylvania",Vietnamese,88,58%,4%,88,0.58,0.04,14
42101003100,"Census Tract 31, Philadelphia County, Pennsylvania",Chinese,88,39%,2%,88,0.39,0.02,14
42101026800,"Census Tract 268, Philadelphia County, Pennsylvania",Korean,88,55%,2%,88,0.55,0.02,14
42101032100,"Census Tract 321, Philadelphia County, Pennsylvania",Filipino,88,67%,2%,88,0.67,0.02,14
34007608504,"Census Tract 6085.04, Camden County, New Jersey",Filipino,88,81%,3%,88,0.81,0.03,14
34007611200,"Census Tract 6112, Camden County, New Jersey",Filipino,88,66%,2%,88,0.66,0.02,14
34013000700,"Census Tract 7, Essex County, New Jersey",Filipino,88,69%,1%,88,0.69,0.01,13
34013006800,"Census Tract 68, Essex County, New Jersey",Bangladeshi,88,64%,2%,88,0.64,0.02,13
34025811000,"Census Tract 8110, Monmouth County, New Jersey",Filipino,88,75%,2%,88,0.75,0.02,13
